"","Date","RMM1","RMM2","Phase","Amplitude","TresMariasPrec.Rainfall","PhaseName"
"3137",1983-01-01,0.77925199,-0.44277,4,0.89626002,22.1,"MC4"
"3138",1983-01-02,0.63660902,-0.44865999,4,0.77882397,15.6,"MC4"
"3139",1983-01-03,0.74351698,-0.42285001,4,0.855349,22.2,"MC4"
"3140",1983-01-04,0.73866099,-0.3037,4,0.798657,11.7,"MC4"
"3141",1983-01-05,0.62472099,-0.20243999,4,0.65670198,15.8,"MC4"
"3142",1983-01-06,0.66435099,-0.0602842011,4,0.66707999,27.5,"MC4"
"3143",1983-01-07,0.60322601,0.0311024003,5,0.60402799,21.5,"MC5"
"3144",1983-01-08,0.79228902,0.304048,5,0.84862697,11.3,"MC5"
"3145",1983-01-09,0.73810297,0.52358001,5,0.90494901,8.5,"MC5"
"3146",1983-01-10,0.41810301,0.84532797,6,0.943075,8.1,"WP6"
"3147",1983-01-11,0.16022401,1.18362,6,1.19441,10.8,"WP6"
"3148",1983-01-12,-0.10041,1.3009599,7,1.30483,2.4,"WP7"
"3149",1983-01-13,-0.25139999,1.27166,7,1.29628,9.7,"WP7"
"3150",1983-01-14,-0.31577,1.24389,7,1.28334,22.1,"WP7"
"3151",1983-01-15,-0.47885001,0.77819401,7,0.91372001,24.2,"WP7"
"3152",1983-01-16,-0.69024003,0.53597999,8,0.87390298,6.9,"WP8"
"3153",1983-01-17,-0.92128003,0.43303901,8,1.01798,5.8,"WP8"
"3154",1983-01-18,-0.90389001,0.15168101,8,0.916529,3.7,"WP8"
"3155",1983-01-19,-0.98185003,-0.0699303001,1,0.98433697,36.3,"WHA1"
"3156",1983-01-20,-1.10395,-0.0101052001,1,1.104,25.3,"WHA1"
"3157",1983-01-21,-1.4201601,0.29419401,8,1.45032,15.7,"WP8"
"3158",1983-01-22,-1.45654,0.61478102,8,1.58097,12.1,"WP8"
"3159",1983-01-23,-1.36327,0.669532,8,1.51881,4.4,"WP8"
"3160",1983-01-24,-0.99110001,0.61691397,8,1.16742,11.2,"WP8"
"3161",1983-01-25,-0.87058997,0.83916998,8,1.20919,18.4,"WP8"
"3162",1983-01-26,-1.22952,0.967044,8,1.56425,16.2,"WP8"
"3163",1983-01-27,-1.5332299,1.14113,8,1.91128,14.7,"WP8"
"3164",1983-01-28,-1.61757,1.02126,8,1.91298,7.5,"WP8"
"3165",1983-01-29,-1.39355,0.57161599,8,1.50623,2.3,"WP8"
"3166",1983-01-30,-1.11149,0.0579281002,8,1.113,2.4,"WP8"
"3167",1983-01-31,-0.85812002,-0.0351620018,1,0.85883498,13.6,"WHA1"
"3168",1983-02-01,-0.82872999,-0.23394001,1,0.86111802,15.1,"WHA1"
"3169",1983-02-02,-0.38867,-0.24417999,1,0.459003,22.2,"WHA1"
"3170",1983-02-03,-0.27072999,-0.0806580037,1,0.28248599,65.1,"WHA1"
"3171",1983-02-04,0.100465,-0.0550807007,4,0.114573,5.9,"MC4"
"3172",1983-02-05,0.103809,-0.16523001,3,0.19513801,2.3,"IO3"
"3173",1983-02-06,-0.061648801,-0.0425360985,1,0.0748993009,2.5,"WHA1"
"3174",1983-02-07,-0.0633219033,0.00306452997,8,0.0633959994,7.2,"WP8"
"3175",1983-02-08,-0.099969402,-0.19183999,2,0.21632899,11.8,"IO2"
"3176",1983-02-09,-0.45569,-0.29161999,1,0.54101002,16.3,"WHA1"
"3177",1983-02-10,-0.48216,-0.34869999,1,0.59504002,46.2,"WHA1"
"3178",1983-02-11,-0.32910001,-0.47714999,2,0.57963902,35.9,"IO2"
"3179",1983-02-12,0.0538854003,-0.94114,3,0.94267899,18.1,"IO3"
"3180",1983-02-13,0.526586,-1.3977799,3,1.49368,14.2,"IO3"
"3181",1983-02-14,0.79528397,-1.50614,3,1.70322,7.8,"IO3"
"3182",1983-02-15,0.99889898,-1.127,3,1.50596,0.1,"IO3"
"3183",1983-02-16,1.16786,-0.55111998,4,1.29137,0,"MC4"
"3184",1983-02-17,1.03706,-0.073514998,4,1.03966,0.2,"MC4"
"3185",1983-02-18,1.00599,0.399223,5,1.08231,1.1,"MC5"
"3186",1983-02-19,0.92341799,0.76814198,5,1.20114,0.4,"MC5"
"3187",1983-02-20,0.93790501,0.91083801,5,1.3074,0,"MC5"
"3188",1983-02-21,0.73501098,0.89115602,6,1.15516,0.2,"WP6"
